fromCurrency,timeStamp,regularMarketPrice,regularMarketChange,regularMarketChangePercent,simpleMovingAVG,regularMarketTime,regularMarketDayLow,regularMarketDayHigh,regularMarketDayRange,regularMarketVolume,volume24Hr,volumeAllCurrencies,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,priceHint,circulatingSupply
BTC,"Sun, 15 May 2022 05:38:34 GMT",29584.227,169.16016,0.57507324,38462.079666666665,1652593020,29544.045,30166.775,29544.045 - 30166.775,27381557248,27381557248,27381557248,29403207052,48218086401,3233.7363,0.12272016,26350.49 - 68789.625,-39205.4,-0.56993186,26350.49,68789.625,40222.727,-10638.5,-0.26448977,45579.285,-15995.059,-0.35092825,563289718784,2,19040206
BTC,"Sun, 15 May 2022 05:36:33 GMT",29597.871,246.2168,0.83884853,38466.627666666667,1652592900,29544.045,30166.775,29544.045 - 30166.775,27420237824,27420237824,27420237824,29403207052,48218086401,3247.3809,0.12323797,26350.49 - 68789.625,-39191.754,-0.5697335,26350.49,68789.625,40222.727,-10624.855,-0.26415056,45579.285,-15981.414,-0.35062888,563549569024,2,19040206
BTC,"Sun, 15 May 2022 05:24:26 GMT",29577.783,182.75586,0.6217237,38459.931666666656,1652592180,29544.045,30166.775,29544.045 - 30166.775,27381428224,27381428224,27381428224,29403207052,48218086401,3227.293,0.12247563,26350.49 - 68789.625,-39211.844,-0.57002556,26350.49,68789.625,40222.727,-10644.943,-0.26464996,45579.285,-16001.502,-0.3510696,563167100928,2,19040206
BTC,"Sun, 15 May 2022 05:31:30 GMT",29585.195,206.22266,0.70194435,38462.402333333332,1652592600,29544.045,30166.775,29544.045 - 30166.775,27421589504,27421589504,27421589504,29403207052,48218086401,3234.705,0.12275692,26350.49 - 68789.625,-39204.43,-0.5699178,26350.49,68789.625,40222.727,-10637.531,-0.2644657,45579.285,-15994.09,-0.350907,563308199936,2,19040206
BTC,"Sun, 15 May 2022 05:33:31 GMT",29612.895,230.91211,0.785896,38471.635666666669,1652592720,29544.045,30166.775,29544.045 - 30166.775,27428911104,27428911104,27428911104,29403207052,48218086401,3262.4043,0.12380811,26350.49 - 68789.625,-39176.73,-0.5695151,26350.49,68789.625,40222.727,-10609.832,-0.26377705,45579.285,-15966.391,-0.35029927,563835633664,2,19040206
BTC,"Sun, 15 May 2022 05:28:28 GMT",29581.469,183.73242,0.6249865,38461.160333333333,1652592420,29544.045,30166.775,29544.045 - 30166.775,27409235968,27409235968,27409235968,29403207052,48218086401,3230.9785,0.1226155,26350.49 - 68789.625,-39208.156,-0.5699719,26350.49,68789.625,40222.727,-10641.258,-0.26455835,45579.285,-15997.816,-0.35098875,563237289984,2,19040206
BTC,"Sun, 15 May 2022 05:32:30 GMT",29604.613,224.52734,0.7642114,38468.875,1652592660,29544.045,30166.775,29544.045 - 30166.775,27424184320,27424184320,27424184320,29403207052,48218086401,3254.123,0.123493835,26350.49 - 68789.625,-39185.01,-0.5696355,26350.49,68789.625,40222.727,-10618.113,-0.26398292,45579.285,-15974.672,-0.35048097,563677954048,2,19040206
BTC,"Sun, 15 May 2022 05:25:26 GMT",29584.4,187.88477,0.6391348,38462.137333333339,1652592240,29544.045,30166.775,29544.045 - 30166.775,27382136832,27382136832,27382136832,29403207052,48218086401,3233.9102,0.12272675,26350.49 - 68789.625,-39205.227,-0.56992936,26350.49,68789.625,40222.727,-10638.326,-0.26448545,45579.285,-15994.885,-0.35092443,563293061120,2,19040206
BTC,"Sun, 15 May 2022 05:29:59 GMT",29585.23,201.39062,0.68538517,38462.414,1652592540,29544.045,30166.775,29544.045 - 30166.775,27419162624,27419162624,27419162624,29403207052,48218086401,3234.7402,0.122758254,26350.49 - 68789.625,-39204.395,-0.56991726,26350.49,68789.625,40222.727,-10637.496,-0.26446483,45579.285,-15994.055,-0.35090622,563308855296,2,19040206
BTC,"Sun, 15 May 2022 05:30:29 GMT",29585.23,201.39062,0.68538517,38462.414,1652592540,29544.045,30166.775,29544.045 - 30166.775,27419162624,27419162624,27419162624,29403207052,48218086401,3234.7402,0.122758254,26350.49 - 68789.625,-39204.395,-0.56991726,26350.49,68789.625,40222.727,-10637.496,-0.26446483,45579.285,-15994.055,-0.35090622,563308855296,2,19040206
